計罰,總額預定,逾期,id
5,7,154,1
0,0,9,2
0,0,0,3
0,0,47,4
3,0,36,5
1,0,1,6
0,0,8,7
0,0,3,8
0,0,0,9
0,0,0,10
0,0,4,11
2,0,0,12
0,0,5,13
0,1,6,14
0,0,23,15
10,0,7,16
11,3,14,17
0,0,0,18
1,1,28,19
1,5,34,20
0,0,3,21
0,0,0,22
5,0,7,23
0,0,6,24
7,0,50,25
7,0,0,26
0,0,0,27
1,0,30,28
0,0,14,29
12,2,41,30
0,0,0,31
0,2,15,32
2,0,1,33
3,0,8,34
0,0,1,35
3,0,21,36
0,0,2,37
0,0,28,38
0,0,17,39
3,0,4,40
0,0,0,41
0,0,0,42
0,1,20,43
0,2,12,44
0,2,12,45
0,0,0,46
0,0,3,47
0,0,0,48
0,1,0,49
0,1,33,50
3,0,40,51
0,0,22,52
0,0,3,53
0,0,0,54
0,0,26,55
0,1,37,56
0,0,26,57
0,0,1,58
0,0,1,59
1,0,27,60
0,0,6,61
0,2,23,62
0,0,34,63
0,0,15,64
0,0,0,65
0,0,1,66
0,0,1,67
0,0,26,68
0,0,38,69
3,0,52,70
0,1,0,71
0,0,20,72
0,2,17,73
0,2,0,74
0,0,52,75
2,0,15,76
0,0,11,77
0,0,0,78
0,0,1,79
0,0,4,80
0,1,14,81
0,2,0,82
0,0,0,83
0,0,33,84
0,0,0,85
0,0,0,86
0,2,7,87
0,2,7,88
0,3,10,89
3,0,46,90
0,0,2,91
0,6,0,92
1,3,43,93
0,0,1,94
0,0,16,95
0,0,0,96
0,0,19,97
1,3,48,98
11,0,21,99
1,0,7,100
1,1,32,101
0,0,6,102
0,0,22,103
0,0,40,104
1,0,7,105
1,0,27,106
1,0,27,107
0,0,13,108
0,0,5,109
0,0,0,110
0,0,3,111
0,14,72,112
13,0,68,113
2,0,28,114
0,0,34,115
0,0,0,116
0,0,11,117
0,0,20,118
6,1,34,119
0,0,0,120
0,0,11,121
0,0,1,122
0,1,69,123
0,0,7,124
0,0,16,125
0,0,3,126
0,3,3,127
0,0,0,128
3,4,67,129
0,0,0,130
25,7,137,131
0,0,0,132
0,0,15,133
3,0,4,134
0,0,23,135
0,0,2,136
0,0,0,137
0,0,0,138
0,0,0,139
1,4,24,140
1,0,37,141
3,0,34,142
7,2,39,143
0,0,20,144
0,0,1,145
2,0,14,146
2,0,7,147
0,0,9,148
0,1,0,149
0,0,0,150
0,0,7,151
0,0,6,152
0,0,6,153
0,0,8,154
0,0,8,155
2,3,41,156
0,0,3,157
0,0,4,158
0,0,0,159
0,0,10,160
0,1,9,161
1,0,23,162
29,0,40,163
0,0,0,164
1,0,0,165
0,0,0,166
0,0,0,167
0,0,8,168
1,0,0,169
3,0,45,170
0,0,10,171
0,0,4,172
0,0,8,173
0,0,0,174
1,3,9,175
0,0,11,176
0,0,17,177
1,0,20,178
0,0,51,179
0,0,51,180
1,0,12,181
0,0,2,182
1,0,2,183
0,0,0,184
0,0,0,185
0,0,18,186
0,0,0,187
4,0,30,188
0,0,15,189
0,0,50,190
0,1,23,191
0,0,3,192
0,0,32,193
0,0,5,194
96,0,71,195
0,0,3,196
0,0,29,197
0,0,6,198
0,1,1,199
1,2,61,200
5,7,154,201
0,0,9,202
0,0,0,203
0,0,47,204
3,0,36,205
1,0,1,206
0,0,8,207
0,0,3,208
0,0,0,209
0,0,0,210
0,0,4,211
2,0,0,212
0,0,5,213
0,1,6,214
0,0,23,215
10,0,7,216
11,3,14,217
0,0,0,218
1,1,28,219
1,5,34,220
0,0,3,221
0,0,0,222
0,1,16,223
0,0,0,224
0,0,26,225
0,0,50,226
7,0,42,227
0,0,1,228
0,5,1,229
3,1,23,230
2,0,22,231
0,0,0,232
0,0,8,233
0,0,0,234
0,0,1,235
0,0,1,236
0,0,2,237
8,0,129,238
5,2,190,239
0,5,34,240
4,0,32,241
0,1,11,242
12,0,17,243
0,0,33,244
0,0,3,245
0,0,11,246
1,0,1,247
0,0,1,248
0,0,8,249
0,5,44,250
0,0,32,251
0,0,17,252
0,1,32,253
0,0,0,254
1,0,41,255
0,0,41,256
0,3,29,257
0,2,31,258
0,0,0,259
2,0,99,260
0,0,0,261
0,0,12,262
0,0,15,263
0,0,19,264
0,0,1,265
11,0,149,266
0,0,0,267
0,0,34,268
0,0,22,269
0,0,0,270
0,0,1,271
0,0,2,272
0,0,3,273
8,0,33,274
0,0,0,275
2,0,18,276
0,0,38,277
3,0,0,278
0,0,29,279
0,0,4,280
0,0,2,281
0,1,23,282
0,0,30,283
1,0,15,284
8,0,40,285
0,0,21,286
1,0,0,287
0,0,20,288
0,0,0,289
11,2,34,290
0,0,1,291
0,0,1,292
2,0,1,293
13,0,57,294
2,0,17,295
0,0,0,296
0,0,0,297
3,0,1,298
0,0,2,299
2,1,19,300
1,0,3,301
0,0,1,302
2,0,15,303
0,0,1,304
0,1,40,305
0,0,2,306
1,0,1,307
0,0,1,308
0,0,1,309
0,2,0,310
0,1,27,311
8,0,45,312
0,1,61,313
1,1,13,314
0,0,9,315
6,0,2,316
